id,d_same_conflict,d_same_topic,margin,score,method,conflict,anchor_topic,positive_topic,negative_conflict,variant,author,audit_1,audit_1_agrees,audit_2,audit_2_agrees,both_audits_agree
e168057,0.669073637974,0.727250857008,0.0581772190336,1,embedding,fairness_vs_mercy,science,community_projects,personal_gain_vs_collective_impact,0,1,B,True,B,True,True
e175890,0.796526006122,0.753153889973,-0.0433721161494,0,embedding,personal_gain_vs_collective_impact,education,community_projects,fairness_vs_mercy,0,3,B,True,B,True,True
e177634,0.654870221453,0.656891573532,0.00202135207962,1,embedding,fairness_vs_mercy,software,small_business,privacy_vs_openness,0,0,B,True,B,True,True
e182306,0.824523459402,0.710532204875,-0.113991254526,0,embedding,personal_gain_vs_collective_impact,sport,community_projects,change_vs_tradition,1,0,B,True,B,True,True
e191647,0.612619372545,0.688365465458,0.0757460929136,1,embedding,security_vs_care,software,sport,health_vs_duty,0,1,B,True,B,True,True
e192668,0.645076376989,0.702472155877,0.0573957788871,1,embedding,discipline_vs_comfort,arts,healthcare,personal_gain_vs_collective_impact,1,1,B,True,B,True,True
e195720,0.739560691422,0.69188226736,-0.0476784240624,0,embedding,ambition_vs_belonging,arts,education,autonomy_vs_approval,1,0,B,True,B,True,True
e208208,0.661654679198,0.694099888628,0.0324452094301,1,embedding,quality_vs_speed,sport,public_services,autonomy_vs_approval,1,3,B,True,B,True,True
e211999,0.857729333069,0.794195790825,-0.0635335422447,0,embedding,privacy_vs_openness,community_projects,software,discipline_vs_comfort,0,2,B,True,B,True,True
e214638,0.714484825682,0.699737182341,-0.014747643341,0,embedding,truth_vs_loyalty,software,science,autonomy_vs_approval,1,2,B,True,B,True,True
e215267,0.630384153368,0.790316791285,0.159932637918,1,embedding,privacy_vs_openness,arts,education,freedom_vs_safety,1,1,B,True,B,True,True
e222314,0.687699940666,0.726176549871,0.0384766092046,1,embedding,privacy_vs_openness,arts,sport,health_vs_duty,0,3,B,True,B,True,True
e224123,0.760173038175,0.539824431448,-0.220348606728,0,embedding,fairness_vs_mercy,agriculture,healthcare,personal_gain_vs_collective_impact,1,0,C,False,B,True,False
e227316,0.580476967248,0.61169453004,0.0312175627922,1,embedding,security_vs_care,science,healthcare,discipline_vs_comfort,1,0,B,True,B,True,True
e230868,0.753551137778,0.8118216817,0.0582705439218,1,embedding,fairness_vs_mercy,education,sport,autonomy_vs_approval,1,2,B,True,B,True,True
e231603,0.565275132002,0.69614008972,0.130864957718,1,embedding,personal_gain_vs_collective_impact,education,software,privacy_vs_openness,1,1,B,True,B,True,True
e239295,0.683526471232,0.807387618707,0.123861147475,1,embedding,fairness_vs_mercy,arts,software,security_vs_care,0,2,B,True,C,False,False
e242508,0.754179502451,0.755327755476,0.00114825302495,1,embedding,ambition_vs_belonging,public_services,small_business,truth_vs_loyalty,0,3,B,True,B,True,True
e245015,0.848603985836,0.645592056775,-0.203011929061,0,embedding,health_vs_duty,sport,small_business,privacy_vs_openness,0,1,B,True,B,True,True
e245586,0.749485293792,0.607431894626,-0.142053399166,0,embedding,personal_gain_vs_collective_impact,healthcare,software,quality_vs_speed,0,0,B,True,B,True,True
e249597,0.593340207981,0.610076087637,0.0167358796562,1,embedding,personal_gain_vs_collective_impact,public_services,arts,freedom_vs_safety,0,2,B,True,B,True,True
e257479,0.876201580013,0.703565396349,-0.172636183665,0,embedding,autonomy_vs_approval,sport,small_business,health_vs_duty,1,3,B,True,B,True,True
e266383,0.871498750352,0.659598116176,-0.211900634177,0,embedding,health_vs_duty,arts,public_services,change_vs_tradition,0,0,B,True,B,True,True
e269142,0.543487735619,0.732115618214,0.188627882595,1,embedding,privacy_vs_openness,education,agriculture,change_vs_tradition,1,3,B,True,B,True,True
e269359,0.790589449985,0.651504369416,-0.139085080569,0,embedding,autonomy_vs_approval,agriculture,software,fairness_vs_mercy,0,0,B,True,B,True,True
e269940,0.545963146894,0.668492084311,0.122528937417,1,embedding,privacy_vs_openness,agriculture,small_business,ambition_vs_belonging,1,1,B,True,B,True,True
e271575,0.566530517454,0.544690567457,-0.0218399499973,0,embedding,truth_vs_loyalty,education,healthcare,health_vs_duty,1,2,B,True,B,True,True
e280334,0.447393750921,0.670559808247,0.223166057326,1,embedding,privacy_vs_openness,software,science,quality_vs_speed,0,1,B,True,B,True,True
e280448,0.708778292497,0.847989736822,0.139211444325,1,embedding,discipline_vs_comfort,healthcare,public_services,truth_vs_loyalty,0,2,B,True,B,True,True
e282243,0.795758068099,0.731713416579,-0.0640446515201,0,embedding,ambition_vs_belonging,sport,healthcare,fairness_vs_mercy,1,1,B,True,B,True,True
e286022,0.679157612349,0.578902279105,-0.100255333245,0,embedding,health_vs_duty,community_projects,education,quality_vs_speed,0,3,B,True,B,True,True
e292429,0.646476486297,0.535517432881,-0.110959053416,0,embedding,freedom_vs_safety,community_projects,agriculture,personal_gain_vs_collective_impact,0,0,B,True,B,True,True
e293727,0.645930743127,0.791321092931,0.145390349804,1,embedding,health_vs_duty,community_projects,healthcare,personal_gain_vs_collective_impact,1,1,B,True,B,True,True
e295481,0.773809112407,0.749239668676,-0.0245694437314,0,embedding,freedom_vs_safety,education,arts,security_vs_care,1,1,B,True,B,True,True
e310200,0.548372484068,0.696784340578,0.14841185651,1,embedding,change_vs_tradition,public_services,education,ambition_vs_belonging,1,0,B,True,B,True,True
e314391,0.567910239955,0.589781760794,0.0218715208389,1,embedding,change_vs_tradition,science,public_services,quality_vs_speed,0,0,B,True,B,True,True
e315995,0.582170252302,0.600846643772,0.01867639147,1,embedding,change_vs_tradition,education,software,truth_vs_loyalty,0,3,B,True,B,True,True
e322785,0.719545482865,0.745939630666,0.0263941478014,1,embedding,freedom_vs_safety,sport,software,quality_vs_speed,0,2,B,True,B,True,True
e334539,0.719662244096,0.591419966432,-0.128242277663,0,embedding,truth_vs_loyalty,education,sport,security_vs_care,0,0,B,True,B,True,True
e345957,0.493473615197,0.608370789476,0.114897174279,1,embedding,fairness_vs_mercy,healthcare,education,privacy_vs_openness,1,3,B,True,B,True,True
e347223,0.742493635622,0.887812150989,0.145318515367,1,embedding,health_vs_duty,public_services,sport,change_vs_tradition,1,3,B,True,B,True,True
e358391,0.720912620033,0.707382287174,-0.0135303328596,0,embedding,truth_vs_loyalty,community_projects,small_business,ambition_vs_belonging,0,1,B,True,B,True,True
e358760,0.793616279409,0.73230315736,-0.0613131220485,0,embedding,discipline_vs_comfort,sport,agriculture,security_vs_care,1,2,B,True,B,True,True
e365088,0.573826885457,0.43633984854,-0.137487036916,0,embedding,ambition_vs_belonging,agriculture,small_business,freedom_vs_safety,1,0,B,True,B,True,True
e367876,0.611873645731,0.757144217114,0.145270571383,1,embedding,truth_vs_loyalty,sport,education,ambition_vs_belonging,1,1,B,True,B,True,True
e372525,0.683235338711,0.717175635686,0.0339402969754,1,embedding,fairness_vs_mercy,public_services,agriculture,security_vs_care,1,1,neither,False,B,True,False
e375642,0.83214710914,0.691592235225,-0.140554873914,0,embedding,privacy_vs_openness,healthcare,agriculture,fairness_vs_mercy,0,2,B,True,B,True,True
e377040,0.817454086761,0.591338097387,-0.226115989374,0,embedding,autonomy_vs_approval,small_business,arts,ambition_vs_belonging,0,2,B,True,B,True,True
e382692,0.710764675362,0.620356058294,-0.0904086170676,0,embedding,ambition_vs_belonging,small_business,software,change_vs_tradition,1,2,B,True,B,True,True
e385608,0.582489206631,0.724646767229,0.142157560599,1,embedding,privacy_vs_openness,agriculture,public_services,personal_gain_vs_collective_impact,0,3,C,False,B,True,False
e393194,0.687245629421,0.666254825211,-0.0209908042097,0,embedding,fairness_vs_mercy,small_business,public_services,freedom_vs_safety,1,2,B,True,C,False,False
e393464,0.6789646461,0.695783197391,0.0168185512911,1,embedding,health_vs_duty,healthcare,software,security_vs_care,0,3,B,True,B,True,True
e400162,0.55384031161,0.705577845934,0.151737534324,1,embedding,fairness_vs_mercy,software,community_projects,quality_vs_speed,1,2,B,True,B,True,True
e402556,0.609425229195,0.756580133868,0.147154904673,1,embedding,change_vs_tradition,healthcare,science,autonomy_vs_approval,0,0,B,True,B,True,True
e406118,0.840322894233,0.742073381525,-0.0982495127079,0,embedding,autonomy_vs_approval,sport,public_services,security_vs_care,0,1,B,True,B,True,True
e408018,0.620983441068,0.631249814814,0.0102663737461,1,embedding,fairness_vs_mercy,small_business,agriculture,health_vs_duty,0,0,B,True,B,True,True
e409792,0.687089070749,0.426988755982,-0.260100314767,0,embedding,personal_gain_vs_collective_impact,agriculture,science,security_vs_care,0,1,B,True,B,True,True
e411947,0.76403397349,0.679488810655,-0.0845451628351,0,embedding,privacy_vs_openness,community_projects,science,autonomy_vs_approval,1,0,B,True,B,True,True
e429520,0.726788167606,0.704881825732,-0.0219063418738,0,embedding,fairness_vs_mercy,agriculture,education,quality_vs_speed,0,2,B,True,B,True,True
e433119,0.742204594934,0.832278632878,0.0900740379447,1,embedding,security_vs_care,small_business,science,change_vs_tradition,0,1,B,True,B,True,True
e433270,0.597107326368,0.769927723987,0.172820397619,1,embedding,quality_vs_speed,healthcare,small_business,privacy_vs_openness,0,3,B,True,B,True,True
e437483,0.676058684838,0.705956249267,0.0298975644291,1,embedding,discipline_vs_comfort,sport,healthcare,ambition_vs_belonging,0,0,B,True,B,True,True
e438502,0.619835591943,0.709158922494,0.0893233305512,1,embedding,ambition_vs_belonging,healthcare,public_services,security_vs_care,1,3,B,True,B,True,True
e441087,0.71040334655,0.787444993089,0.0770416465391,1,embedding,discipline_vs_comfort,software,sport,change_vs_tradition,1,3,B,True,B,True,True
e444577,0.704601905081,0.684264650247,-0.0203372548345,0,embedding,quality_vs_speed,arts,healthcare,freedom_vs_safety,0,0,B,True,B,True,True
e444915,0.600926888021,0.779791215451,0.17886432743,1,embedding,truth_vs_loyalty,small_business,public_services,quality_vs_speed,0,0,B,True,B,True,True
e445571,0.502454189009,0.600688959367,0.0982347703583,1,embedding,change_vs_tradition,arts,community_projects,security_vs_care,1,3,B,True,B,True,True
e449534,0.778072252756,0.540623992151,-0.237448260606,0,embedding,discipline_vs_comfort,public_services,software,quality_vs_speed,1,2,B,True,B,True,True
e451329,0.757317330966,0.69116229256,-0.0661550384057,0,embedding,fairness_vs_mercy,healthcare,sport,change_vs_tradition,0,1,B,True,B,True,True
e460139,0.573315700346,0.781934917617,0.208619217272,1,embedding,autonomy_vs_approval,public_services,arts,personal_gain_vs_collective_impact,1,3,C,False,B,True,False
e463179,0.638782332183,0.700223900532,0.0614415683488,1,embedding,freedom_vs_safety,science,community_projects,change_vs_tradition,1,2,B,True,B,True,True
e464045,0.819041318666,0.63453576801,-0.184505550656,0,embedding,quality_vs_speed,education,public_services,change_vs_tradition,0,2,B,True,B,True,True
e470271,0.749473326993,0.556502792935,-0.192970534058,0,embedding,personal_gain_vs_collective_impact,science,public_services,freedom_vs_safety,1,2,B,True,B,True,True
e472464,0.654728327347,0.586052065967,-0.0686762613804,0,embedding,quality_vs_speed,education,small_business,fairness_vs_mercy,1,0,B,True,B,True,True
e478161,0.395756252734,0.538944696184,0.143188443449,1,embedding,truth_vs_loyalty,science,arts,fairness_vs_mercy,1,3,B,True,B,True,True
e478188,0.767322093799,0.52189426539,-0.245427828409,0,embedding,autonomy_vs_approval,arts,agriculture,personal_gain_vs_collective_impact,0,0,B,True,B,True,True
e478381,0.504505842795,0.622888289075,0.11838244628,1,embedding,truth_vs_loyalty,small_business,community_projects,personal_gain_vs_collective_impact,1,2,B,True,B,True,True
e479745,0.773291719826,0.509093320906,-0.26419839892,0,embedding,ambition_vs_belonging,science,arts,freedom_vs_safety,0,1,B,True,B,True,True
e480131,0.678153375384,0.648974650047,-0.0291787253373,0,embedding,quality_vs_speed,agriculture,community_projects,ambition_vs_belonging,0,0,B,True,B,True,True
e491714,0.707130749032,0.580290205012,-0.12684054402,0,embedding,personal_gain_vs_collective_impact,community_projects,education,change_vs_tradition,0,0,B,True,B,True,True
e492437,0.786222416165,0.575164603298,-0.211057812867,0,embedding,privacy_vs_openness,small_business,software,truth_vs_loyalty,1,3,B,True,B,True,True
e495461,0.705270317344,0.615781825079,-0.0894884922654,0,embedding,security_vs_care,science,education,truth_vs_loyalty,0,2,B,True,B,True,True
e497456,0.790638190177,0.661977741538,-0.128660448639,0,embedding,health_vs_duty,education,community_projects,personal_gain_vs_collective_impact,0,2,B,True,B,True,True
e511029,0.722455277986,0.519989344496,-0.20246593349,0,embedding,personal_gain_vs_collective_impact,software,healthcare,ambition_vs_belonging,0,3,B,True,B,True,True
e515293,0.704602616149,0.650055212143,-0.0545474040053,0,embedding,fairness_vs_mercy,sport,arts,truth_vs_loyalty,1,1,B,True,B,True,True
e527974,0.579210915991,0.675613046401,0.0964021304102,1,embedding,discipline_vs_comfort,healthcare,small_business,autonomy_vs_approval,1,0,B,True,B,True,True
e529610,0.590045825866,0.65041038117,0.0603645553038,1,embedding,ambition_vs_belonging,healthcare,agriculture,personal_gain_vs_collective_impact,0,1,B,True,B,True,True
e534757,0.627713644525,0.54690995421,-0.0808036903155,0,embedding,discipline_vs_comfort,arts,education,quality_vs_speed,0,3,B,True,B,True,True
e535396,0.691132082256,0.723405651956,0.0322735697008,1,embedding,security_vs_care,community_projects,sport,quality_vs_speed,1,0,B,True,B,True,True
e535562,0.651908582722,0.756685238917,0.104776656195,1,embedding,change_vs_tradition,small_business,education,security_vs_care,0,3,B,True,B,True,True
e541035,0.722454029636,0.678296176896,-0.0441578527402,0,embedding,health_vs_duty,arts,small_business,fairness_vs_mercy,1,2,C,False,B,True,False
e558518,0.60724536078,0.684127937674,0.0768825768941,1,embedding,security_vs_care,software,education,freedom_vs_safety,1,3,B,True,B,True,True
e563179,0.759077802046,0.746163766157,-0.0129140358894,0,embedding,quality_vs_speed,small_business,science,truth_vs_loyalty,0,2,B,True,B,True,True
e564214,0.713825411748,0.650869266364,-0.062956145384,0,embedding,privacy_vs_openness,sport,education,truth_vs_loyalty,0,0,B,True,B,True,True
e570367,0.850364786151,0.563730568974,-0.286634217177,0,embedding,ambition_vs_belonging,arts,sport,discipline_vs_comfort,0,2,B,True,B,True,True
e578352,0.549946937015,0.634878119714,0.0849311826988,1,embedding,security_vs_care,small_business,arts,fairness_vs_mercy,1,3,B,True,B,True,True
e579607,0.843518887032,0.643091618046,-0.200427268987,0,embedding,change_vs_tradition,arts,small_business,ambition_vs_belonging,0,1,B,True,B,True,True
e579873,0.70918803092,0.65293760389,-0.0562504270298,0,embedding,autonomy_vs_approval,science,agriculture,quality_vs_speed,1,1,B,True,B,True,True
e590577,0.520413010331,0.794326935568,0.273913925237,1,embedding,privacy_vs_openness,sport,healthcare,discipline_vs_comfort,1,2,B,True,B,True,True
e594670,0.668258794958,0.634714419596,-0.0335443753619,0,embedding,freedom_vs_safety,public_services,healthcare,fairness_vs_mercy,1,0,B,True,B,True,True
e598211,0.512712877821,0.745010112489,0.232297234668,1,embedding,truth_vs_loyalty,healthcare,education,freedom_vs_safety,0,1,B,True,B,True,True
e599508,0.638903924757,0.694446975635,0.0555430508788,1,embedding,discipline_vs_comfort,community_projects,arts,health_vs_duty,1,0,B,True,B,True,True
e602550,0.73001492252,0.526701237469,-0.203313685051,0,embedding,freedom_vs_safety,education,science,ambition_vs_belonging,0,3,B,True,B,True,True
e609396,0.691418297217,0.601719512564,-0.0896987846536,0,embedding,security_vs_care,education,small_business,personal_gain_vs_collective_impact,1,3,B,True,B,True,True
e612735,0.734838434276,0.717032117726,-0.0178063165507,0,embedding,ambition_vs_belonging,agriculture,public_services,health_vs_duty,0,2,B,True,B,True,True
e620045,0.731139684545,0.661694639109,-0.0694450454362,0,embedding,quality_vs_speed,arts,agriculture,truth_vs_loyalty,1,2,B,True,B,True,True
e621976,0.622607217624,0.744068764197,0.121461546573,1,embedding,discipline_vs_comfort,software,arts,autonomy_vs_approval,0,1,B,True,B,True,True
e624782,0.602090670663,0.608524230431,0.00643355976779,1,embedding,discipline_vs_comfort,education,public_services,freedom_vs_safety,1,3,B,True,B,True,True
e628765,0.774569402791,0.648043066216,-0.126526336575,0,embedding,change_vs_tradition,software,agriculture,fairness_vs_mercy,0,3,B,True,B,True,True
e629289,0.772430791534,0.606333722312,-0.166097069221,0,embedding,ambition_vs_belonging,education,healthcare,privacy_vs_openness,0,0,B,True,B,True,True
e629454,0.746264359814,0.671013462644,-0.0752508971707,0,embedding,ambition_vs_belonging,community_projects,science,privacy_vs_openness,1,3,B,True,B,True,True
e630427,0.558284570627,0.653115989929,0.0948314193013,1,embedding,security_vs_care,education,public_services,quality_vs_speed,0,1,B,True,B,True,True
e632673,0.819118078201,0.708345422588,-0.110772655613,0,embedding,personal_gain_vs_collective_impact,healthcare,science,ambition_vs_belonging,1,2,B,True,B,True,True
e633721,0.69539790059,0.615906964959,-0.0794909356314,0,embedding,autonomy_vs_approval,community_projects,sport,health_vs_duty,0,3,B,True,B,True,True
e649147,0.609312577467,0.586773460021,-0.0225391174461,0,embedding,truth_vs_loyalty,agriculture,healthcare,autonomy_vs_approval,0,2,B,True,B,True,True
e650040,0.688609998571,0.779054034948,0.0904440363762,1,embedding,autonomy_vs_approval,public_services,science,quality_vs_speed,0,1,B,True,B,True,True
e656482,0.614941149177,0.332207259872,-0.282733889305,0,embedding,change_vs_tradition,community_projects,healthcare,freedom_vs_safety,0,0,B,True,B,True,True
e660306,0.824368250196,0.60019830621,-0.224169943985,0,embedding,quality_vs_speed,software,sport,personal_gain_vs_collective_impact,0,2,B,True,C,False,False
e661245,0.632311386183,0.760316525663,0.12800513948,1,embedding,security_vs_care,arts,agriculture,change_vs_tradition,1,1,C,False,B,True,False
e664310,0.679040029505,0.666702655616,-0.012337373889,0,embedding,personal_gain_vs_collective_impact,arts,public_services,truth_vs_loyalty,0,1,B,True,B,True,True
e665956,0.658339219691,0.654087566722,-0.00425165296896,0,embedding,privacy_vs_openness,software,arts,personal_gain_vs_collective_impact,1,3,B,True,B,True,True
e668083,0.89710196697,0.73221778943,-0.16488417754,0,embedding,freedom_vs_safety,agriculture,sport,discipline_vs_comfort,0,1,B,True,B,True,True
e668841,0.686329733704,0.548388681991,-0.137941051713,0,embedding,discipline_vs_comfort,science,sport,fairness_vs_mercy,0,2,B,True,B,True,True
e671472,0.803181780658,0.689854360912,-0.113327419746,0,embedding,autonomy_vs_approval,arts,public_services,ambition_vs_belonging,1,2,B,True,B,True,True
e671952,0.597457372856,0.538676098412,-0.0587812744442,0,embedding,fairness_vs_mercy,science,software,ambition_vs_belonging,1,3,C,False,B,True,False
e675540,0.703297372963,0.507193607562,-0.196103765401,0,embedding,security_vs_care,agriculture,community_projects,freedom_vs_safety,0,3,C,False,B,True,False
e676013,0.819821077584,0.625774880451,-0.194046197133,0,embedding,personal_gain_vs_collective_impact,software,agriculture,security_vs_care,1,1,B,True,B,True,True
e677760,0.798746548136,0.736141189909,-0.0626053582277,0,embedding,quality_vs_speed,agriculture,software,security_vs_care,1,2,B,True,B,True,True
e682986,0.703816437271,0.632315088133,-0.0715013491376,0,embedding,freedom_vs_safety,arts,software,privacy_vs_openness,1,3,B,True,B,True,True
e684845,0.781100186184,0.589537743217,-0.191562442967,0,embedding,freedom_vs_safety,healthcare,arts,health_vs_duty,0,0,B,True,B,True,True
e687961,0.718770372848,0.694118533902,-0.0246518389456,0,embedding,autonomy_vs_approval,software,healthcare,fairness_vs_mercy,1,0,B,True,C,False,False
e689149,0.698912187119,0.853415370554,0.154503183435,1,embedding,health_vs_duty,public_services,arts,autonomy_vs_approval,0,1,B,True,B,True,True
e690672,0.547074845581,0.700935312913,0.153860467332,1,embedding,personal_gain_vs_collective_impact,small_business,sport,discipline_vs_comfort,0,3,B,True,B,True,True
e692313,0.721704290072,0.704815457473,-0.0168888325994,0,embedding,health_vs_duty,small_business,education,privacy_vs_openness,1,0,B,True,B,True,True
e693438,0.6174854913,0.703026806942,0.0855413156414,1,embedding,change_vs_tradition,community_projects,agriculture,truth_vs_loyalty,1,2,B,True,B,True,True
e696200,0.815138982906,0.668640696389,-0.146498286517,0,embedding,ambition_vs_belonging,public_services,community_projects,discipline_vs_comfort,1,1,B,True,B,True,True
e699555,0.783863818933,0.586085433921,-0.197778385011,0,embedding,truth_vs_loyalty,arts,sport,quality_vs_speed,1,0,B,True,B,True,True
e711069,0.740113356028,0.647362866602,-0.0927504894257,0,embedding,health_vs_duty,sport,community_projects,quality_vs_speed,1,3,B,True,B,True,True
e713368,0.641099128561,0.848368914385,0.207269785824,1,embedding,discipline_vs_comfort,small_business,software,personal_gain_vs_collective_impact,0,1,B,True,B,True,True
e716892,0.516438069605,0.595972643474,0.0795345738692,1,embedding,truth_vs_loyalty,public_services,small_business,privacy_vs_openness,1,1,B,True,B,True,True
e721871,0.733119468161,0.645963642897,-0.0871558252646,0,embedding,security_vs_care,arts,healthcare,autonomy_vs_approval,0,3,B,True,B,True,True
e729209,0.91625614534,0.711202981309,-0.205053164031,0,embedding,change_vs_tradition,agriculture,arts,privacy_vs_openness,0,1,B,True,B,True,True
e729603,0.699775866075,0.676978208421,-0.022797657654,0,embedding,personal_gain_vs_collective_impact,agriculture,arts,health_vs_duty,1,3,B,True,B,True,True
e732875,0.574894600071,0.602603516281,0.0277089162104,1,embedding,ambition_vs_belonging,software,arts,health_vs_duty,1,2,B,True,B,True,True
e735008,0.722811930124,0.707493154726,-0.0153187753986,0,embedding,personal_gain_vs_collective_impact,small_business,education,autonomy_vs_approval,1,1,B,True,B,True,True
e735739,0.682189140163,0.610972174241,-0.071216965922,0,embedding,security_vs_care,public_services,science,autonomy_vs_approval,1,2,B,True,B,True,True
e742051,0.692979375437,0.743282806629,0.0503034311925,1,embedding,freedom_vs_safety,science,small_business,autonomy_vs_approval,0,0,B,True,B,True,True
e748039,0.672570382276,0.628192896287,-0.0443774859886,0,embedding,privacy_vs_openness,public_services,small_business,security_vs_care,0,0,B,True,B,True,True
e750120,0.723030812534,0.693401173828,-0.0296296387061,0,embedding,security_vs_care,healthcare,community_projects,health_vs_duty,1,0,B,True,B,True,True
e751725,0.822367516624,0.849564267208,0.0271967505839,1,embedding,change_vs_tradition,sport,community_projects,health_vs_duty,0,2,B,True,B,True,True
e759795,0.572090574375,0.643578336449,0.071487762074,1,embedding,personal_gain_vs_collective_impact,science,agriculture,health_vs_duty,0,0,B,True,B,True,True
e760826,0.78050166422,0.790656987193,0.0101553229731,1,embedding,health_vs_duty,software,agriculture,truth_vs_loyalty,1,0,C,False,B,True,False
e771712,0.552580766973,0.727491085813,0.17491031884,1,embedding,fairness_vs_mercy,community_projects,small_business,discipline_vs_comfort,1,3,B,True,B,True,True
e779700,0.762237421337,0.782035765478,0.0197983441412,1,embedding,health_vs_duty,agriculture,science,truth_vs_loyalty,0,0,B,True,B,True,True
e780705,0.631643728289,0.642811257545,0.0111675292559,1,embedding,personal_gain_vs_collective_impact,public_services,sport,truth_vs_loyalty,1,0,B,True,B,True,True
e782208,0.597521983684,0.667465761442,0.0699437777582,1,embedding,change_vs_tradition,software,public_services,privacy_vs_openness,1,1,B,True,B,True,True
e782459,0.531183644111,0.54249337873,0.0113097346192,1,embedding,quality_vs_speed,community_projects,arts,autonomy_vs_approval,0,3,B,True,B,True,True
e782824,0.735683747159,0.76824648923,0.0325627420706,1,embedding,discipline_vs_comfort,community_projects,science,security_vs_care,0,2,B,True,B,True,True
e784832,0.747024592688,0.714713903327,-0.0323106893612,0,embedding,security_vs_care,sport,agriculture,fairness_vs_mercy,0,0,B,True,B,True,True
e790209,0.459367601282,0.827363296674,0.367995695393,1,embedding,freedom_vs_safety,sport,science,personal_gain_vs_collective_impact,1,0,B,True,B,True,True
e791685,0.650059501889,0.546423277207,-0.103636224682,0,embedding,freedom_vs_safety,small_business,healthcare,privacy_vs_openness,0,3,B,True,B,True,True
e792357,0.63443708118,0.586126341673,-0.048310739507,0,embedding,truth_vs_loyalty,public_services,agriculture,fairness_vs_mercy,0,3,B,True,B,True,True
e792904,0.702521292013,0.704937669593,0.00241637757968,1,embedding,freedom_vs_safety,agriculture,education,autonomy_vs_approval,1,3,B,True,B,True,True
e793029,0.712323984058,0.556384519556,-0.155939464502,0,embedding,freedom_vs_safety,healthcare,sport,truth_vs_loyalty,1,2,C,False,B,True,False
e794699,0.689349173223,0.819847414875,0.130498241652,1,embedding,ambition_vs_belonging,sport,education,change_vs_tradition,0,3,B,True,B,True,True
e796327,0.572280081346,0.616808444936,0.0445283635895,1,embedding,freedom_vs_safety,small_business,agriculture,quality_vs_speed,1,1,B,True,B,True,True
e797829,0.764022789433,0.656560000563,-0.10746278887,0,embedding,health_vs_duty,healthcare,science,freedom_vs_safety,1,1,B,True,B,True,True
e802980,0.563144348555,0.74905009705,0.185905748496,1,embedding,privacy_vs_openness,science,sport,security_vs_care,1,0,B,True,B,True,True
