Name,Source,Direction,Sentences
money,decision outcomes ,con,loses money; erodes wealth; takes money out; wastes money; reduces paychecks; leads to exorbitant expenses; depletes savings accounts; triggers financial downturns; restricts financial growth; leads to economic losses
social,decision outcomes ,pro,improves reputation; increases friendships; increases power; improves social standing; builds stronger relationships; fosters respect; deepens connections; gains trust among peers; strengthens social networks; broadens social circles
social,decision outcomes ,con,damages reputation; causes enemies; diminishes power; lowers social standing; damages relationships; erodes respect; weakens connections; loses trust among peers; hurts social networks; narrows social circles.
health,decision outcomes ,pro,leads to good health; improves fitness; strengthens body; improves mental health; increases immunity; fosters healthy habits; strengthens vitality; leads to good nutrition; increases energy levels; contributes to longevity.
health,decision outcomes ,con,harms overall health; makes unfit; weakens body; leads to mental illness; weakens immunity; instills harmful habits; saps vitality; leads to malnutrition; leads to exhaustion; threatens life expectancy.
mood,decision outcomes ,pro,leads to happiness; reduces stress; boosts joy and contentment; promotes a sense of well-being; is relaxing; encourages positive thinking; uplifts spirits; provides comfort and solace; increases satisfaction and fulfillment; improves overall mood
mood,decision outcomes ,con,causes sadness; induces stress; causes misery; reduces well-being; provokes anxiety; causes negative thinking; depresses spirits; causes discomfort and agitation; causes dissatisfaction and lack of fulfillment; leads to instability in mood
pleasure,decision outcomes ,pro,causes pleasure; is enjoyable; is euphoric; is delightful; is exciting; generates thrill; feels good; brings fun; offers a good time; is easy
pleasure,decision outcomes ,con,causes pain; induces boredom; leads to despair; brings displeasure; creates monotony; generates dread; feels bad; is dull; leads to a bad time; is effortful
existential concerns,decision outcomes ,pro,gives life meaning; deepens faith and devotion; enhances spiritual understanding; connects with god and higher powers; fosters enlightenment; encourages inner peace; nurtures the souls growth; cultivates a sense of purpose; is transcendent; provides a sense of direction
existential concerns,decision outcomes ,con,leads to a meaningless life; weakens faith and devotion; obscures spiritual insight; leads to darkness; propagates ignorance; leads to inner chaos; leads the soul to damnation; removes purpose; is debased and mundane; leads to angst
career,decision outcomes ,pro,improves career prospects; expands networking opportunities; boosts resume appeal; increases job stability; fosters leadership qualities; facilitates career advancement; provides valuable industry insights; encourages continuous learning; improves work performance; secures higher income
career,decision outcomes ,con,diminishes career prospects; limits networking opportunities; weakens resume appeal; leads to job instability; suppresses leadership qualities; hinders career advancement; obscures valuable industry insights; discourages continuous learning; impairs work performance; reduces income
personal development,decision outcomes ,pro,leads to personal growth; fosters self-improvement; encourages emotional intelligence; enhances self-awareness; promotes skill acquisition; builds resilience; cultivates creative thinking; expands worldviews; strengthens decision-making abilities; nurtures a growth mindset
personal development,decision outcomes ,con,stunts personal growth; hampers self-improvement; reduces emotional intelligence; leads to ignorance about self; impedes skill acquisition; leads to fragility; leads to unimaginative thinking; leads to a close-minded worldview; undermines decision-making abilities; leads to stagnation
romance,decision outcomes ,pro,leads to love; sparks romance; cultivates affection; builds intimate bonds; nurtures sexual feelings; enchants the heart; increases sexual attraction; stimulates sexual desires; ignites erotic passion; leads to a good sex life
romance,decision outcomes ,con,deters love; extinguishes romance; neglects affection; breaks intimate bonds; suppresses sexual feelings; disenchants the heart; diminishes sexual attraction; deadens sexual desires; smothers erotic passion; results in an unsatisfying sex life.
knowledge,decision outcomes ,pro,leads to knowledge; improves intellect; fosters critical thinking skills; enhances problem-solving abilities; encourages curiosity; broadens perspectives and understanding; cultivates creativity and innovation; boosts confidence; leads to accurate beliefs; reduces ignorance
knowledge,decision outcomes ,con,leads to ignorance; leads to stupidity; obstructs critical thinking skills; weakens problem-solving abilities; leads to indifference; leads to narrow-minded perspectives; stifles creativity and innovation; causes doubt; results in false beliefs; mindless
laws and institutions,decision outcomes ,pro,adheres to rules; upholds the law; respects authority; complies with regulations; observes legal protocols; maintains social order; adheres to guidelines; embraces civic responsibility; demonstrates lawful conduct; upholds communal values
laws and institutions,decision outcomes ,con,disregards rules; violates the law; defies authority; breaches regulations; ignores legal protocols; disrupts social order; neglects guidelines; shuns civic responsibility; exhibits unlawful behavior; sows communal discord
utilitarian consumption,consumer dimensions ,pro,produces functional results; meets practical needs; delivers utilitarian benefits; provides tangible solutions; serves a functional purpose; addresses pragmatic requirements; offers concrete advantages; ensures efficiency; facilitates practicality; promotes utility
utilitarian consumption,consumer dimensions ,con,produces impractical results; fails to meet practical needs; lacks utilitarian benefits; offers no tangible solutions; serves no functional purpose; ignores pragmatic requirements; lacks concrete advantages; hinders efficiency; impedes practicality; lacks utility
hedonic consumption,consumer dimensions ,pro,leads to pleasurable outcomes; stimulates sensory delight; evokes emotional enjoyment; results in hedonic satisfaction; cultivates joyful experiences; fosters aesthetic appreciation; stimulates emotional gratification; induces sensory pleasure; promotes experiential joy; enhances fulfillment
hedonic consumption,consumer dimensions ,con,leads to unpleasant outcomes; dampens sensory delight; brings about emotional distress; results in displeasure; creates joyless experiences; obstructs aesthetic appreciation; denies emotional gratification; produces sensory discomfort; causes experiential sorrow; enhances dissastisfaction
material consumption,consumer dimensions ,pro,leads to tangible assets; accumulates physical goods; enhances collection of objects; gains concrete assets; collects valuable items; prioritizes physical belongings; acquires material treasures; values object ownership; seeks material acquisitions; amasses material resources
material consumption,consumer dimensions ,con,does not lead to tangible assets; prevents the accumulation of physical goods; diminishes collection of objects; loses concrete assets; disregards valuable items; overlooks physical belongings; forgoes material treasures; undervalues object ownership; shuns material acquisitions; depletes material resources.
experiential consumption,consumer dimensions ,pro,leads to good experiences; produces pleasant memories; improves life experiences; generates non-material rewards; enriches experiences; emphasizes life moments; treasures experiences over items; leads to personal growth; places importance on adventures; invests in experiences
experiential consumption,consumer dimensions ,con,leads to bad experiences; produces unpleasant memories; makes life experiences worse; generates non-material punishments; leads to impovrished experiences; neglects life moments; treasures items over experiences; hinders personal growth; places no importance on adventures; invests in possessions
valence,emotions ,pro,evokes joy; stimulates excitement; elicits euphoria; kindles contentment; leads to pride; inspires optimism; rouses inspiration; causes awe; conjures gratitude; ignites love
valence,emotions ,con,evokes sadness; causes disappointment; elicits frustration; generates shame; leads to embarrassment; causes pessimism; rouses anxiety; causes fear; evokes anger; ignites grief.
arousal,emotions ,pro,evokes excitement; stimulates euphoria; elicits rage; kindles panic; leads to frenzy; inspires thrill; rouses exhilaration; causes arousal; conjures enthusiasm; ignites ecstasy
arousal,emotions ,con,evokes depression; leads to boredom; generates sadness; causes fatigue; leads to calm; makes one sluggish; causes tiredness; causes laziness; leads to sleepiness; generates lethargy
anger,emotions ,pro,prevents anger; averts fury; avoids wrath; defuses hostility; precludes bitterness; mitigates animosity; alleviates indignation; reduces irritability; lessens annoyance; diminishes resentment.
anger,emotions ,con,leads to rage; causes fury; leads to wrath; causes hostility; leads to bitterness; causes animosity; leads to indignation; causes irritability; leads to annoyance; causes resentment
fear,emotions ,pro,evokes courage; stimulates confidence; elicits boldness; kindles bravery; leads to valor; inspires intrepidity; rouses audacity; causes nerve; conjures daring; ignites pluck
fear,emotions ,con,causes fear; stimulates anxiety; elicits dread; kindles panic; leads to terror; inspires horror; rouses nervousness; causes unease; conjures apprehension; ignites distress
happiness,emotions ,pro,causes happiness; stimulates delight; elicits elation; kindles bliss; leads to jubilation; inspires euphoria; rouses enjoyment; causes pleasure; conjures gladness; ignites cheerfulness.
happiness,emotions ,con,causes sadness; leads to melancholy; elicits sorrow; kindles gloom; leads to despair; generates distress; rouses grief; causes misery; makes one unhappy; causes discontent
disgust,emotions ,pro,evokes appreciation; stimulates admiration; elicits reverence; kindles awe; leads to veneration; inspires esteem; rouses fondness; causes liking; conjures attachment; leads to affinity
disgust,emotions ,con,evokes disgust; stimulates revulsion; elicits loathing; kindles repugnance; leads to distaste; causes nausea; rouses contempt; causes aversion; conjures antipathy; leads to repulsion.
autonomy,self determination ,pro,stimulates freedom of choice; leads to opportunities for decision-making; encourages self-directed behavior; fosters the power to choose ones path; supports independent thinking; nurtures the ability to make personal decisions; enhances the sense of control over ones life; encourages self-regulation; promotes the freedom to express oneself; allows for the pursuit of individual goals
autonomy,self determination ,con,limits freedom of choice; restricts opportunities for decision-making; discourages self-directed behavior; undermines the power to choose ones path; suppresses independent thinking; impedes the ability to make personal decisions; reduces the sense of control over ones life; hinders self-regulation; restricts the freedom to express oneself; prevents the pursuit of individual goals
competence,self determination ,pro,elicits a sense of skill; evokes a feeling of mastery; fosters confidence in abilities; inspires a sense of achievement; promotes a belief in ones capabilities; challenges and stimulates growth; nurtures a sense of accomplishment; encourages the development of expertise; cultivates a feeling of effectiveness; enhances a sense of proficiency
competence,self determination ,con,discourages a sense of skill; reduces feelings of mastery; diminishes confidence in abilities; undermines a sense of achievement; suppresses belief in ones capabilities; stagnates growth and learning; hinders a sense of accomplishment; undermines the development of expertise; undercuts feelings of effectiveness; impairs a sense of proficiency
social relatedness,self determination ,pro,fosters a sense of belonging; cultivates deep and meaningful connections with others; encourages empathy and understanding; nurtures supportive and caring relationships; enhances feelings of camaraderie and companionship; promotes a sense of community and togetherness; inspires trust and emotional security in relationships; fosters a sense of unity and solidarity within a group; encourages open communication and mutual respect; nurtures a sense of being valued and appreciated by others
social relatedness,self determination ,con,undermines a sense of belonging; hinders deep and meaningful connections with others; discourages empathy and understanding; suppresses supportive and caring relationships; diminishes feelings of camaraderie and companionship; disrupts a sense of community and togetherness; undermines trust and emotional security in relationships; hinders a sense of unity and solidarity within a group; discourages open communication and mutual respect; undermines a sense of being valued and appreciated by others
self direction,values ,pro,encourages independent thought and decision-making; fosters the development of unique perspectives and beliefs; supports the cultivation of individual opinions and viewpoints; promotes self-reliance and autonomy in decision-making; enhances personal growth by valuing ones own judgment; cultivates a strong sense of individuality and self-expression; encourages the exploration of diverse ideas and perspectives; supports the formation of authentic beliefs and values; fosters a sense of confidence in ones own judgments and choices; upholds the importance of personal integrity and authenticity in public interactions
self direction,values ,con,decreases the inclination for independent thought and decision-making; diminishes the development of unique perspectives and beliefs; undermines self-reliance and autonomy in forming opinions; suppresses individuality and self-expression; weakens the ability to stand firm in personal convictions; dampens critical thinking and analytical skills; discourages the exploration of diverse ideas and perspectives; reduces confidence in ones own judgments and choices; undermines the protection of personal integrity and authenticity; diminishes a sense of empowerment in shaping ones public image.
stimulation,values ,pro,encourages constant exploration and curiosity; promotes a sense of thrill and excitement; fosters a mindset open to novel experiences; stimulates a sense of adventure and spontaneity; cultivates a passion for trying new things; enhances creativity and innovative thinking; nurtures a love for diverse and stimulating activities; encourages a willingness to step out of comfort zones; promotes a sense of wonder and awe in everyday life; fosters a zest for living through exhilarating encounters
stimulation,values ,con,decreases inclination for constant exploration and curiosity; diminishes the sense of thrill and excitement; reduces openness to novel experiences; dampens the spirit of adventure and spontaneity; discourages trying new things; suppresses creativity and innovative thinking; limits engagement in diverse and stimulating activities; undermines willingness to step out of comfort zones; decreases sense of wonder and awe in everyday life; dulls the zest for living  diminishing exhilarating encounters
hedonism,values ,pro,enhances pleasure and enjoyment; promotes a good time and positive experiences; encourages fun and laughter; maximizes opportunities for joyful moments; cultivates a sense of delight and contentment; fosters a positive and cheerful atmosphere; amplifies the enjoyment of lifes simple pleasures; nurtures a carefree and happy mindset; uplifts the spirit through pleasurable activities; boosts overall life satisfaction and fulfillment
hedonism,values ,con,decreases enjoyment and pleasure; diminishes opportunities for a good time and positive experiences; reduces fun and laughter; limits moments of joy and contentment; dampens the spirit  leading to unhappiness; suppresses the ability to appreciate lifes pleasures; undermines a positive and cheerful atmosphere; restricts the enjoyment of simple pleasures; decreases overall life satisfaction and fulfillment; diminishes the sense of delight and fulfillment in everyday activities.
achievement,values ,pro,encourages setting and pursuing ambitious goals; enhances personal achievements and accomplishments; promotes a strong work ethic and determination; fosters a drive for continuous improvement and excellence; cultivates a sense of purpose and direction in life; inspires a passion for success and reaching milestones; nurtures a desire for recognition and acknowledgment of accomplishments; encourages a proactive approach to challenges and opportunities; stimulates a competitive spirit  driving towards success; boosts self-confidence through meaningful achievements.
achievement,values ,con,decreases motivation to set and pursue ambitious goals; diminishes personal achievements and accomplishments; reduces work ethic and determination; undermines the drive for continuous improvement and excellence; dampens the sense of purpose and direction in life; discourages passion for success and reaching milestones; suppresses the desire for recognition and acknowledgment of accomplishments; undermines a proactive approach to challenges and opportunities; diminishes competitive spirit and drive towards success; lowers self-confidence due to a lack of meaningful achievements.
power,values ,pro,encourages dominance and influence over others; enhances control in social and professional interactions; promotes the ability to assert authority and make decisions; fosters a sense of command and obedience from others; cultivates the power to shape outcomes according to ones desires; nurtures a position of leadership and decision-making; encourages the fulfillment of personal interests and desires through others; stimulates a commanding presence and respect from peers; promotes the ability to manipulate situations to ones advantage; cultivates a sense of superiority and superiority in social dynamics.
power,values ,con,decreases interpersonal harmony and cooperation; diminishes empathy and understanding in relationships; reduces mutual respect and trust among peers; undermines positive social dynamics and collaboration; dampens the spirit of teamwork and collective decision-making; suppresses healthy communication and openness; weakens the potential for constructive dialogue and compromise; undermines the ability to build genuine  supportive relationships; decreases overall morale and satisfaction in social and professional contexts; diminishes the potential for positive influence and meaningful connections with others.
security,values ,pro,encourages carefulness and risk mitigation; enhances personal safety and physical well-being; promotes a secure environment and peace of mind; cultivates healthy habits and disease prevention; nurtures a sense of protection and self-preservation; fosters a focus on avoiding hazardous situations; stimulates proactive measures for health and safety; encourages the creation of a stable and secure living space; enhances financial stability and future planning; promotes a cautious approach to decision-making for overall security.
security,values ,con,decreases vigilance and caution  leading to potential risks; diminishes personal safety and physical well-being; reduces a sense of security and peace of mind; undermines healthy habits and disease prevention; dampens the focus on avoiding hazardous situations; suppresses proactive measures for health and safety; decreases the creation of a stable and secure living space; undermines financial stability and future planning; reduces preparedness  leading to vulnerability; diminishes overall security due to a lack of cautious decision-making.
conformity,values ,pro,encourages adherence to established norms and regulations; enhances lawfulness and order in society; promotes conformity to ethical standards and social expectations; fosters a sense of responsibility towards rules and regulations; cultivates a disciplined approach to decision-making and behavior; nurtures a culture of respect for authority and established guidelines; encourages a sense of accountability and integrity in actions; stimulates a commitment to ethical behavior and moral principles; promotes harmonious coexistence through rule obeying; cultivates a respectful attitude towards societal laws and regulations.
conformity,values ,con,decreases adherence to established norms and regulations; diminishes lawfulness and order in society; reduces conformity to ethical standards and social expectations; undermines a sense of responsibility towards rules and regulations; dampens discipline in decision-making and behavior; suppresses a culture of respect for authority and established guidelines; decreases a sense of accountability and integrity in actions; undermines commitment to ethical behavior and moral principles; reduces harmonious coexistence due to rule violations; diminishes respect for societal laws and regulations.
tradition,values ,pro,encourages preservation of cultural heritage and customs; enhances respect for traditional values and ways of thinking; promotes the continuity of family customs and religious practices; fosters a sense of identity and belonging through cultural traditions; cultivates a connection to ancestral roots and heritage; nurtures the transmission of knowledge and wisdom from one generation to another; encourages the celebration of traditional festivals and rituals; stimulates a sense of community and shared history; promotes the appreciation of historical customs and rituals; cultivates a sense of pride and honor in upholding cultural traditions.
tradition,values ,con,decreases preservation of cultural heritage and customs; diminishes respect for traditional values and ways of thinking; reduces the continuity of family customs and religious practices; undermines a sense of identity and belonging through cultural traditions; dampens connection to ancestral roots and heritage; suppresses the transmission of knowledge and wisdom to future generations; decreases the celebration of traditional festivals and rituals; undermines the sense of community and shared history; reduces appreciation for historical customs and rituals; diminishes pride and honor in upholding cultural traditions.
benevolence,values ,pro,encourages empathy and compassion towards loved ones; enhances support for the well-being of close family and friends; promotes a sense of responsibility for the happiness of dear ones; fosters a caring attitude and nurturing behavior; cultivates a willingness to assist in times of need; nurtures a loving and supportive environment for those close; encourages generosity and selflessness towards loved ones; stimulates active involvement in the lives of family and friends; promotes aiding those in need through kindness and understanding; cultivates a strong sense of community and interconnectedness through supportive actions.
benevolence,values ,con,decreases empathy and compassion towards loved ones; diminishes support for the well-being of close family and friends; reduces a sense of responsibility for the happiness of dear ones; undermines a caring attitude and nurturing behavior; suppresses willingness to assist in times of need; weakens a loving and supportive environment for those close; decreases generosity and selflessness towards loved ones; undermines active involvement in the lives of family and friends; reduces aid to those in need  fostering apathy; diminishes the sense of community and interconnectedness through lack of supportive actions.
universalism,values ,pro,enhances environmental conservation efforts; promotes sustainable living practices; encourages eco-friendly choices and behaviors; fosters a sense of responsibility towards nature; cultivates awareness about environmental issues; nurtures a commitment to wildlife protection; stimulates activism for ecological preservation; encourages participation in eco-conscious initiatives; enhances connection with the natural world; promotes advocacy for environmental policies and regulations.
universalism,values ,con,decreases environmental conservation efforts; diminishes awareness about environmental issues; reduces eco-friendly choices and behaviors; undermines sustainable living practices; suppresses a sense of responsibility towards nature; weakens commitment to wildlife protection; dampens activism for ecological preservation; discourages participation in eco-conscious initiatives; diminishes connection with the natural world; undermines advocacy for environmental policies and regulations.
achieving salvation,goals ,pro,promotes salvation; encourages spiritual enlightenment; advocates religious redemption; fosters divine deliverance; supports eternal peace
achieving salvation,goals ,con,discourages salvation; hinders spiritual enlightenment; dissuades religious redemption; obstructs divine deliverance; opposes eternal peace
appreciating the arts,goals ,pro,promotes appreciation of arts; enhances artistic understanding; encourages artistry; cultivates artistic interests; inspires artistic expression
appreciating the arts,goals ,con,discourages appreciation of arts; diminishes artistic understanding; deters artistry; neglects artistic interests; suppresses artistic expression
achieving my aspirations,goals ,pro,promotes achieving aspirations; supports personal growth; encourages self-improvement; facilitates goal accomplishment; propels dream realization
achieving my aspirations,goals ,con,hampers achieving aspirations; stifles personal growth; discourages self-improvement; hinders goal accomplishment; thwarts dream realization
sexual desirability,goals ,pro,promotes sexual attraction; enhances romantic appeal; stimulates sexual excitement; strengthens intimate relationships; boosts seduction skills
sexual desirability,goals ,con,diminishes sexual attraction; reduces romantic appeal; suppresses sexual excitement; weakens intimate relationships; lowers seduction skills
avoiding failure,goals ,pro,avoids failure; prevents errors; safeguards from mishaps; minimizes risks; evades breakdowns
avoiding failure,goals ,con,invites failure; allows errors; exposes to mishaps; maximizes risks; tolerates breakdowns
avoiding feelings of guilt,goals ,pro,promotes guilt-avoidance; encourages emotional wellbeing; fosters self-forgiveness; enhances inner peace; supports guilt-free living.
avoiding feelings of guilt,goals ,con,promotes guilt-inducement; discourages emotional wellbeing; hinders self-forgiveness; disturbs inner peace; opposes guilt-free living.
avoiding rejection by others,goals ,pro,avoids rejection; strives for acceptance; enhances social approval; reduces social isolation; encourages positive interaction
avoiding rejection by others,goals ,con,invites rejection; neglects acceptance; discourages social approval; increases social isolation; discourages positive interaction
avoiding stress,goals ,pro,promotes stress avoidance; boosts emotional well-being; encourages relaxation techniques; enhances peaceful living; supports mental health hygiene
avoiding stress,goals ,con,promotes stress inducement; reduces emotional well-being; discourages relaxation techniques; degrades peaceful living; neglects mental health hygiene
being able to fantasize,goals ,pro,promotes imagination; encourages creativity; fosters daydreaming; enhances fantasy skills; stimulates imaginative thinking
being able to fantasize,goals ,con,suppresses imagination; discourages creativity; hinders daydreaming; reduces fantasy skills; dampens imaginative thinking
being affectionate toward others,goals ,pro,promotes affection; promotes empathy; promotes good intentions; promotes warmth; promotes positive interaction
being affectionate toward others,goals ,con,diminishes affection; diminishes empathy; diminishes good intentions; diminishes warmth; diminishes positive interaction
being ambitious,goals ,pro,promotes ambition and hard work; encourages determination; fosters perseverance; champions tenacity; boosts diligence
being ambitious,goals ,con,discourages ambition and hard work; hinders determination; suppresses perseverance; opposes tenacity; deters diligence
being better than others,goals ,pro,promotes competitiveness; encourages self-improvement; fosters ambition; motivates to surpass others; instills a spirit of victory
being better than others,goals ,con,promotes cooperation; encourages complacency; suppresses ambition; motivates to help others; instills a spirit of accepting defeat
being lighthearted,goals ,pro,promotes carefreeness; encourages lightheartedness; inspires joyfulness; advocates enjoyment of life; fosters laid-back attitude
being lighthearted,goals ,con,promotes seriousness; encourages solemnity; inspires melancholy; advocates seriousness of life; fosters high-strung attitude
being clean,goals ,pro,promotes personal cleanliness; encourages neatness; advocates for personal care; supports hygiene practices; upholds tidiness
being clean,goals ,con,discourages personal cleanliness; opposes neatness; neglects personal care; rejects hygiene practices; disrespects tidiness
maintaining conventional views,goals ,pro,promotes conventional views; discourages innovation; upholds traditional norms; resists change; supports status quo
maintaining conventional views,goals ,con,challenges conventional views; encourages innovation; disrupts traditional norms; embraces change; questions status quo
being creative,goals ,pro,promotes creativity; enhances intellectual growth; boosts artistic expression; encourages scientific exploration; stimulates innovative thinking
being creative,goals ,con,hinders creativity; stunts intellectual growth; suppresses artistic expression; discourages scientific exploration; dulls innovative thinking
being curious,goals ,pro,promotes curiosity and learning; encourages inspection; fosters understanding; stimulates intellectual growth; advocates exploration
being curious,goals ,con,inhibits curiosity and learning; discourages inspection; impedes understanding; stifles intellectual growth; opposes exploration
being disciplined,goals ,pro,promotes discipline and follow-through; enforces project completion; encourages intention alignment; advocates for dedicated diligence; fosters consistent commitment
being disciplined,goals ,con,neglects discipline and follow-through; discourages project completion; dismisses intention alignment; opposes dedicated diligence; undermines consistent commitment
having freedom,goals ,pro,promotes freedom; encourages independence; fosters autonomy; supports liberation; enhances free-will
having freedom,goals ,con,restricts freedom; discourages independence; hinders autonomy; opposes liberation; diminishes free-will
being good looking,goals ,pro,promotes good looks; enhances physical beauty; boosts attractiveness; improves aesthetic appeal; encourages physical fitness
being good looking,goals ,con,diminishes good looks; reduces physical beauty; lowers attractiveness; worsens aesthetic appeal; discourages physical fitness
being honest,goals ,pro,promotes honesty and loyalty; encourages respectfulness; advocates for courtesy; cultivates consideration; fosters integrity
being honest,goals ,con,degrades honesty and loyalty; discourages respectfulness; detracts from courtesy; neglects consideration; hinders integrity
being in love,goals ,pro,promotes love; encourages affection; supports emotional connections; advocates romantic feelings; fosters healthy relationships.
being in love,goals ,con,discourages love; suppresses affection; undermines emotional connections; opposes romantic feelings; hinders healthy relationships.
changing my ways,goals ,pro,promotes innovative living; encourages personal transformation; fosters lifestyle changes; bolsters self-improvement; advocates novelty in habits
changing my ways,goals ,con,discourages innovative living; opposes personal transformation; inhibits lifestyle changes; counters self-improvement; rejects novelty in habits
being intelligent,goals ,pro,promotes intelligence; fosters learning; encourages critical thinking; stimulates cognitive growth; boosts knowledge acquisition
being intelligent,goals ,con,hampers intelligence; stifles learning; discourages critical thinking; stunts cognitive growth; reduces knowledge acquisition
being likeable,goals ,pro,promotes likeability and friendship; encourages social attraction; enhances interpersonal skills; fosters friendliness; increases magnetism towards others
being likeable,goals ,con,discourages likeability and friendship; hinders social attraction; reduces interpersonal skills; suppresses friendliness; decreases magnetism towards others
being logical,goals ,pro,promotes logical thinking; encourages consistency; fosters rationality; endorses coherent reasoning; facilitates systematic analysis
being logical,goals ,con,disparages logical thinking; discourages consistency; suppresses rationality; rejects coherent reasoning; hinders systematic analysis
being really passionate ,goals ,pro,promotes passion; encourages enthusiasm; fosters devotion; stimulates interest; propels fervor.
being really passionate ,goals ,con,suppresses passion; discourages enthusiasm; hinders devotion; dulls interest; dampens fervor.
being playful,goals ,pro,promotes playfulness; encourages cheerfulness; advocates for fun; stimulates joyful action; supports lightheartedness
being playful,goals ,con,discourages playfulness; suppresses cheerfulness; disapproves of fun; hinders joyful action; opposes lightheartedness
being in the center of things,goals ,pro,promotes popularity; enhances social influence; boosts social recognition; encourages peer acceptance; augments public exposure
being in the center of things,goals ,con,discourages popularity; reduces social influence; lowers social recognition; discourages peer acceptance; decreases public exposure
being practical,goals ,pro,promotes practicality; encourages efficiency; enhances usability; advocates for simplicity; supports functionality
being practical,goals ,con,hinders practicality; discourages efficiency; reduces usability; opposes simplicity; prevents functionality
keeping to myself,goals ,pro,promotes privacy; encourages solitude; upholds personal space; supports introversion; prioritizes seclusion
keeping to myself,goals ,con,discourages privacy; deters solitude; neglects personal space; opposes introversion; deprioritizes seclusion
being admired,goals ,pro,promotes admiration and recognition; fosters respect and acknowledgment; encourages appreciation and validation; sustains acclaim and attention; strengthens prestige and esteem.
being admired,goals ,con,discourages admiration and recognition; deters respect and acknowledgment; hinders appreciation and validation; reduces acclaim and attention; weakens prestige and esteem.
being reflective,goals ,pro,promotes reflection over impulsivity; encourages mindfulness; fosters thoughtful decision-making; supports introspective thought; cultivates patience over rush
being reflective,goals ,con,promotes impulsivity over reflection; encourages mindlessness; fosters rash decision-making; supports impulsive thought; cultivates rush over patience
being respected by others,goals ,pro,promotes respectability; encourages understanding; fosters dignity; enhances esteem; boosts reputation
being respected by others,goals ,con,hinders respectability; discourages understanding; damages dignity; lessens esteem; reduces reputation
being responsible,goals ,pro,promotes responsibility and dependability; encourages reliability; fosters consistency; supports trustworthiness; advocates accountability
being responsible,goals ,con,discourages responsibility and dependability; hinders reliability; suppresses consistency; opposes trustworthiness; neglects accountability
being independent,goals ,pro,promotes independence and self-reliance; encourages self-sufficiency; boosts autonomy; reinforces individual capability; advocates for personal empowerment.
being independent,goals ,con,discourages independence and self-reliance; hinders self-sufficiency; suppresses autonomy; undermines individual capability; opposes personal empowerment.
being socially attractive,goals ,pro,promotes social attractiveness; enhances excitement; fosters fascination; boosts impression on others; cultivates social appeal
being socially attractive,goals ,con,hampers social attractiveness; diminishes excitement; hinders fascination; lowers impression on others; reduces social appeal
being spontaneous,goals ,pro,promotes spontaneity; encourages impulsivity; fosters unpredictability; advocates for improvisation; supports free-spiritedness
being spontaneous,goals ,con,hinders spontaneity; discourages impulsivity; restrains unpredictability; opposes improvisation; suppresses free-spiritedness
being unique,goals ,pro,promotes uniqueness; encourages exceptionalism; inspires difference; champions individuality; advocates non-conformity
being unique,goals ,con,promotes conformity; discourages exceptionalism; suppresses difference; dismisses individuality; opposes uniqueness
belonging to social groups,goals ,pro,promotes social belonging; encourages group inclusion; fosters community participation; advocates for social unity; endorses group solidarity
belonging to social groups,goals ,con,discourages social belonging; dissuades group inclusion; hinders community participation; opposes social unity; discards group solidarity
being able to meet my financial needs,goals ,pro,promotes financial stability; enhances financial independence; supports economic self-sufficiency; advocates for financial security; encourages sound financial management
